URL,Type,Subtype,Price,Bedroom,Living_area,Locality,Swimming_pool,Garden_area,Surface_of_land,Terrace,Kitchen
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10314263,house,apartment block,4950000,0,750.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10444617,house,house,535000,3,123.0,1000,False,,40,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10651567,house,house,199000,4,150.0,1000,False,,0,True,usa installed
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10433805,house,house,735000,0,300.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10496259,house,apartment block,849000,5,,1000,False,,0,True,usa installed
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bruxelles%20ville/1000/10583561,house,exceptional property,4500000,4,,1000,False,,1961,True,installed
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%201/1000/10118824,house,house,685000,0,260.0,1000,False,,122,True,not installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10614262,house,mixed use building,335000,0,90.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20%201/1000/10593905,house,house,880000,5,200.0,1000,False,100,0,True,installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10591489,house,apartment block,1300000,16,600.0,1000,False,,0,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10591446,house,apartment block,1500000,10,,1000,False,,0,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10605995,house,apartment block,300000,2,,1000,False,,0,True,installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10511207,house,mixed use building,675000,0,350.0,1000,False,,0,True,installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels%20city/1000/9852938,house,apartment block,1750000,0,,1000,False,,0,True,
https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/10665519,apartment,ground floor,339000,3,150.0,9000,False,,,True,installed
https://www.immoweb.be/en/classified/house/for-sale/poederlee/2275/10665516,house,house,289000,4,163.0,2275,False,300,616,True,semi equipped
https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/10665515,apartment,apartment,240000,1,50.0,1170,False,,,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/mornimont/5190/10588935,house,house,225000,4,250.0,5190,False,240,530,True,semi equipped
https://www.immoweb.be/en/classified/apartment/for-sale/de%20pinte/9840/10665511,apartment,apartment,722241,2,118.0,9840,False,,,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud/1420/10665508,house,house,327500,3,126.0,1420,False,115,201,True,installed
https://www.immoweb.be/en/classified/house/for-sale/montegn%C3%89e/4420/10665502,house,house,269000,4,,4420,False,,455,True,installed
https://www.immoweb.be/en/classified/house/for-sale/vezin/5300/10665501,house,house,749000,5,305.0,5300,False,,6250,True,
https://www.immoweb.be/en/classified/house/for-sale/vezin/5300/10665500,house,house,549000,5,305.0,5300,False,,2950,True,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10665498,house,house,159000,2,95.0,4100,False,,182,True,
https://www.immoweb.be/en/classified/house/for-sale/stabroek/2940/10554963,house,house,410000,3,150.0,2940,False,,447,True,installed
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10665489,apartment,apartment,209000,2,97.0,2100,False,,,True,semi equipped
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9500/10665487,house,mixed use building,99500,2,60.0,9500,False,,40,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10665486,house,house,185000,3,,9600,False,,0,True,
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665485,house,house,99500,2,60.0,9500,False,,40,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665484,house,house,240000,3,125.0,9500,False,,58,True,installed
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10665483,house,house,165000,4,140.0,9500,False,,50,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10665482,house,house,299000,2,200.0,9600,False,,220,True,installed
https://www.immoweb.be/en/classified/house/for-sale/eghez%C3%A9e/5310/10665481,house,house,239000,4,181.0,5310,False,150,396,True,installed
https://www.immoweb.be/en/classified/apartment/for-sale/d%C3%89nia/03700/10665478,apartment,apartment,295000,2,59.0,03700,False,,,True,usa semi equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/antwerp/2018/10665475,house,apartment block,580000,0,270.0,2018,False,,0,True,not installed
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek%20st%20jean/1080/10665471,apartment,apartment,275000,2,105.0,1080,False,,,True,
https://www.immoweb.be/en/classified/villa/for-sale/beringen/3582/10665470,house,villa,349000,6,300.0,3582,True,,1648,True,installed
https://www.immoweb.be/en/classified/house/for-sale/hasti%C3%88re-lavaux/5540/10665469,house,house,129000,3,,5540,False,,620,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/beringen/3582/10665464,house,house,349000,6,300.0,3582,True,,1648,True,installed
https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/10665462,house,house,139000,4,124.0,8370,False,,83,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/zoersel/2980/10577036,house,house,849000,3,222.0,2980,False,,5610,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/10665461,house,house,359000,3,89.0,3000,False,,43,True,
https://www.immoweb.be/en/classified/house/for-sale/farciennes/6240/10665460,house,house,239000,2,,6240,False,,875,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/10665458,house,house,849000,6,260.0,3000,False,20,100,True,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10538711,house,house,675000,4,230.0,1000,False,25,112,True,installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10470523,house,mixed use building,650000,3,206.0,1000,False,,0,True,usa semi equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles%20%201/1000/10631151,house,apartment block,435000,3,126.0,1000,False,,72,True,installed
